trace_id,message_id,timestep,source_node,target_node,previous_message_ids,layer,topic,emotion,emotional_load,modalities,veracity,salience,intent,parent_message_id
0,0,0,6,8,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
1,1,0,17,19,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
2,2,0,1,2,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
3,3,0,7,9,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
4,4,1,18,11,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
5,5,1,15,19,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
6,6,1,10,0,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
7,7,1,6,14,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
8,8,2,7,2,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
9,9,2,5,10,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
10,10,2,19,15,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
11,11,2,17,0,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
12,12,3,15,5,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
13,13,3,4,5,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
14,14,3,18,17,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
15,15,3,13,14,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
16,16,3,5,4,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
17,17,4,16,14,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
18,18,4,8,16,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
19,19,4,3,6,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
20,20,4,15,14,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
21,21,4,11,8,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
22,22,4,1,10,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
23,23,4,0,8,[],analog,generic,neutral,0.0,text,0.5,0.5,inform,
