trace_id,message_id,timestep,source_node,target_node,previous_message_ids
0,0,0,9,6,[]
1,1,0,6,14,[]
2,2,0,5,9,[]
3,3,0,10,13,[]
4,4,0,7,16,[]
5,5,1,19,10,[]
6,6,1,22,23,[]
7,7,1,8,0,[]
8,8,2,3,5,[]
9,9,2,22,2,[]
10,10,2,10,8,[]
11,11,2,8,11,[]
12,12,2,17,20,[]
13,13,2,13,8,[]
14,14,2,21,18,[]
15,15,3,1,4,[]
16,16,3,20,0,[]
17,17,3,22,9,[]
18,18,3,8,20,[]
19,19,4,8,13,[]
20,20,4,22,1,[]
21,21,4,17,15,[]
22,22,4,14,0,[]
23,23,4,6,23,[]
24,24,4,12,21,[]
25,25,4,1,5,[]
26,26,4,3,5,[]
27,27,5,6,23,[]
28,28,5,17,13,[]
29,29,5,24,3,[]
30,30,5,15,13,[]
31,31,5,2,22,[]
32,32,5,18,9,[]
33,33,5,7,19,[]
34,34,6,11,21,[]
35,35,6,18,9,[]
36,36,6,2,12,[]
37,37,6,17,21,[]
38,38,6,8,21,[]
39,39,6,6,14,[]
40,40,7,0,11,[]
41,41,7,9,13,[]
42,42,7,14,16,[]
43,43,7,19,22,[]
44,44,7,22,1,[]
45,45,7,1,24,[]
46,46,7,23,10,[]
47,47,8,12,6,[]
48,48,8,20,0,[]
49,49,8,16,14,[]
50,50,9,0,11,[]
51,51,9,15,7,[]
52,52,10,16,14,[]
53,53,10,18,15,[]
54,54,10,6,14,[]
55,55,11,8,14,[]
56,56,11,12,15,[]
57,57,11,5,1,[]
58,58,11,23,7,[]
59,59,11,22,12,[]
60,60,11,7,2,[]
61,61,12,9,7,[]
62,62,12,13,10,[]
63,63,13,12,2,[]
64,64,13,23,22,[]
65,65,13,13,0,[]
66,66,13,15,4,[]
67,67,13,21,7,[]
68,68,14,24,1,[]
69,69,14,14,16,[]
70,70,15,22,9,[]
71,71,15,12,6,[]
72,72,15,11,21,[]
73,73,15,5,3,[]
74,74,16,22,24,[]
75,75,16,7,2,[]
76,76,16,23,22,[]
77,77,16,13,9,[]
78,78,17,5,20,[]
79,79,17,22,1,[]
80,80,17,0,24,[]
81,81,17,24,13,[]
82,82,17,10,19,[]
83,83,17,13,9,[]
84,84,17,4,9,[]
85,85,18,6,9,[]
86,86,18,5,15,[]
87,87,18,3,14,[]
88,88,18,1,24,[]
89,89,18,22,14,[]
90,90,19,10,13,[]
91,91,19,14,8,[]
92,92,20,0,10,[]
93,93,20,9,4,[]
94,94,20,8,14,[]
95,95,20,23,6,[]
96,96,21,2,7,[]
97,97,21,12,15,[]
98,98,21,10,21,[]
99,99,21,22,1,[]
100,100,22,3,24,[]
101,101,22,24,13,[]
102,102,22,13,24,[]
103,103,22,21,7,[]
104,104,22,15,7,[]
105,105,22,10,23,[]
106,106,22,18,21,[]
107,107,23,0,13,[]
108,108,23,2,12,[]
109,109,23,3,24,[]
110,110,24,1,22,[]
111,111,24,2,0,[]
112,112,24,23,22,[]
113,113,24,8,13,[]
114,114,24,24,22,[]
115,115,24,21,17,[]
116,116,25,24,3,[]
117,117,25,15,4,[]
118,118,25,16,22,[]
119,119,25,23,6,[]
120,120,25,9,5,[]
121,121,25,0,13,[]
122,122,26,19,12,[]
123,123,26,17,15,[]
124,124,26,13,8,[]
125,125,26,23,1,[]
126,126,27,8,11,[]
127,127,27,11,21,[]
128,128,28,19,22,[]
129,129,28,21,18,[]
130,130,28,3,20,[]
131,131,29,21,10,[]
132,132,29,6,9,[]
133,133,29,14,8,[]
134,134,29,17,13,[]
135,135,29,8,11,[]
136,136,30,5,20,[]
137,137,30,23,3,[]
138,138,30,4,15,[]
139,139,30,22,17,[]
140,140,30,17,21,[]
141,141,30,21,7,[]
142,142,30,2,22,[]
143,143,30,3,14,[]
144,144,31,15,17,[]
145,145,31,13,24,[]
146,146,31,8,13,[]
147,147,31,4,15,[]
148,148,31,10,13,[]
149,149,31,19,10,[]
150,150,31,22,14,[]
151,151,32,7,15,[]
152,152,32,1,24,[]
153,153,32,20,3,[]
154,154,33,8,0,[]
155,155,33,1,20,[]
156,156,33,12,15,[]
157,157,33,24,1,[]
158,158,33,10,0,[]
159,159,34,15,4,[]
160,160,34,14,8,[]
161,161,34,9,18,[]
162,162,35,8,10,[]
163,163,35,13,17,[]
164,164,35,20,21,[]
165,165,35,10,0,[]
166,166,36,19,7,[]
167,167,36,21,20,[]
168,168,36,4,15,[]
169,169,36,8,11,[]
170,170,36,11,8,[]
171,171,37,19,7,[]
172,172,38,2,23,[]
173,173,38,18,15,[]
174,174,38,11,21,[]
175,175,38,10,23,[]
176,176,38,24,3,[]
177,177,39,8,14,[]
178,178,39,11,0,[]
179,179,39,0,13,[]
180,180,39,13,17,[]
181,181,39,17,6,[]
182,182,39,7,15,[]
183,183,39,2,14,[]
184,184,40,7,16,[]
185,185,40,8,11,[]
