node,timestep,conviction,exposures
2696,3,0.38587499999999997,3
2727,3,0.27749999999999997,2
4433,5,0.38587499999999997,3
1731,5,0.27749999999999997,2
1732,8,0.15,1
2691,11,0.27749999999999997,2
1736,13,0.15,1
1735,13,0.27749999999999997,2
2734,16,0.47799375,4
2729,16,0.47799375,4
2694,19,0.27749999999999997,2
2692,19,0.38587499999999997,3
2701,19,0.27749999999999997,2
2693,19,0.38587499999999997,3
2724,22,0.15,1
1737,22,0.38587499999999997,3
2728,24,0.622850484375,6
2688,24,0.27749999999999997,2
2725,25,0.27749999999999997,2
4054,25,0.27749999999999997,2
2720,26,0.27749999999999997,2
2726,26,0.27749999999999997,2
2730,28,0.7275094749609375,8
3779,28,0.27749999999999997,2
4059,28,0.15,1
2722,30,0.38587499999999997,3
1095,30,0.15,1
2731,30,0.7683830537167969,9
4791,31,0.15,1
4056,32,0.27749999999999997,2
4050,32,0.38587499999999997,3
4053,32,0.27749999999999997,2
4051,32,0.38587499999999997,3
1726,32,0.27749999999999997,2
4055,32,0.38587499999999997,3
1729,32,0.38587499999999997,3
1740,33,0.38587499999999997,3
1738,34,0.47799375,4
1733,34,0.5562946875,5
4047,34,0.15,1
3593,34,0.27749999999999997,2
1734,34,0.8031255956592774,10
1728,35,0.67942291171875,7
1727,35,0.67942291171875,7
2372,35,0.27749999999999997,2
4623,35,0.27749999999999997,2
2695,35,0.67942291171875,7
2698,36,0.27749999999999997,2
2690,36,0.67942291171875,7
3808,39,0.38587499999999997,3
1096,40,0.15,1
232,41,0.15,1
2902,42,0.27749999999999997,2
4060,42,0.27749999999999997,2
3784,43,0.15,1
2739,43,0.27749999999999997,2
1091,43,0.27749999999999997,2
4062,43,0.15,1
2721,44,0.5562946875,5
1160,44,0.27749999999999997,2
4058,44,0.7275094749609375,8
2697,44,0.7683830537167969,9
