trace_id,message_id,timestep,source_node,target_node,previous_message_ids
0,0,0,6,8,[]
1,1,0,17,19,[]
2,2,0,1,2,[]
3,3,0,7,9,[]
4,4,1,18,11,[]
5,5,1,15,19,[]
6,6,1,10,0,[]
7,7,1,6,14,[]
8,8,2,7,2,[]
9,9,2,5,10,[]
10,10,2,19,15,[]
11,11,2,17,0,[]
12,12,3,15,5,[]
13,13,3,4,5,[]
14,14,3,18,17,[]
15,15,3,13,14,[]
16,16,3,5,4,[]
17,17,4,16,14,[]
18,18,4,8,16,[]
19,19,4,3,6,[]
20,20,4,15,14,[]
21,21,4,11,8,[]
22,22,4,1,10,[]
23,23,4,0,8,[]
24,24,5,7,9,[]
25,25,5,15,5,[]
26,26,5,12,17,[]
27,27,5,1,2,[]
28,28,5,17,0,[]
29,29,6,0,11,[]
30,30,6,18,11,[]
31,31,6,13,11,[]
32,32,6,5,9,[]
33,33,6,10,11,[]
34,34,6,19,15,[]
35,35,6,12,11,[]
36,36,7,6,3,[]
37,37,7,2,1,[]
38,38,7,18,11,[]
39,39,7,11,5,[]
40,40,7,19,15,[]
41,41,8,7,9,[]
42,42,8,18,11,[]
43,43,8,12,13,[]
44,44,8,17,3,[]
45,45,8,11,9,[]
46,46,8,3,17,[]
47,47,9,1,9,[]
48,48,9,12,19,[]
49,49,9,6,5,[]
50,50,10,7,9,[]
51,51,10,18,11,[]
52,52,11,8,3,[]
53,53,11,12,16,[]
54,54,11,4,5,[]
55,55,12,6,8,[]
56,56,12,17,11,[]
57,57,12,4,5,[]
58,58,13,17,2,[]
59,59,13,1,9,[]
60,60,13,3,6,[]
61,61,13,15,7,[]
62,62,13,2,10,[]
63,63,14,5,10,[]
64,64,14,18,17,[]
65,65,14,3,8,[]
66,66,15,2,8,[]
67,67,15,8,19,[]
68,68,16,13,0,[]
69,69,16,7,2,[]
70,70,16,0,4,[]
71,71,16,2,0,[]
72,72,16,5,11,[]
73,73,16,4,0,[]
74,74,16,6,8,[]
75,75,17,8,16,[]
76,76,17,14,6,[]
77,77,18,2,8,[]
78,78,18,12,11,[]
79,79,18,11,17,[]
80,80,19,19,15,[]
81,81,19,18,17,[]
82,82,19,6,14,[]
83,83,19,13,14,[]
84,84,19,10,0,[]
85,85,19,3,8,[]
86,86,20,4,14,[]
87,87,20,12,17,[]
